state,statefp,cd113fp,zip5
AL,01,05,35966
AL,01,05,35979
AL,01,06,35005
AL,01,06,35006
AL,01,06,35007
AL,01,06,35013
AL,01,06,35015
AL,01,06,35023
AL,01,06,35031
AL,01,06,35034
AL,01,06,35036
AL,01,06,35040
AL,01,06,35041
AL,01,06,35035
AL,01,06,35042
AL,01,06,35043
AL,01,06,35045
AL,01,06,35046
AL,01,06,35048
AL,01,06,35049
AL,01,06,35051
AL,01,06,35060
AL,01,06,35068
AL,01,06,35071
AL,01,06,35072
AL,01,06,35078
AL,01,06,35073
AL,01,06,35080
AL,01,06,35074
AL,01,06,35079
AL,01,06,35085
AL,01,06,35089
AL,01,06,35091
AL,01,06,35094
AL,01,06,35097
AL,01,06,35114
AL,01,06,35115
AL,01,06,35116
AL,01,06,35117
AL,01,06,35118
AL,01,06,35119
AL,01,06,35121
AL,01,06,35123
AL,01,06,35124
AL,01,06,35126
AL,01,06,35127
AL,01,06,35133
AL,01,06,35136
AL,01,06,35137
AL,01,06,35139
AL,01,06,35143
AL,01,06,35144
AL,01,06,35147
AL,01,06,35171
AL,01,06,35172
AL,01,06,35173
AL,01,06,35176
AL,01,06,35178
AL,01,06,35180
AL,01,06,35181
AL,01,06,35183
AL,01,06,35184
AL,01,06,35185
AL,01,06,35186
AL,01,06,35187
AL,01,06,35188
AL,01,06,35209
AL,01,06,35210
AL,01,06,35213
AL,01,06,35216
AL,01,06,35222
AL,01,06,35223
AL,01,06,35225
AL,01,06,35226
AL,01,06,35229
AL,01,06,35230
AL,01,06,35240
AL,01,06,35242
AL,01,06,35243
AL,01,06,35244
AL,01,06,35245
AL,01,06,35253
AL,01,06,35260
AL,01,06,35266
AL,01,06,35277
AL,01,06,35278
AL,01,06,35279
AL,01,06,35286
AL,01,06,35293
AL,01,06,35236
AL,01,06,35288
AL,01,06,35238
AL,01,06,35952
AL,01,06,36026
AL,01,06,36091
AL,01,06,36750
AL,01,06,36793
AL,01,06,36792
AL,01,06,36790
AL,01,07,36702
AL,01,07,36703
AL,01,07,36701
AL,01,07,35020
AL,01,07,35022
AL,01,07,35021
AL,01,07,35061
AL,01,07,35064
AL,01,07,35111
AL,01,07,35142
AL,01,07,35201
AL,01,07,35202
AL,01,07,35203
AL,01,07,35204
AL,01,07,35205
AL,01,07,35206
AL,01,07,35207
AL,01,07,35208
AL,01,07,35212
AL,01,07,35211
AL,01,07,35214
AL,01,07,35217
AL,01,07,35218
AL,01,07,35215
AL,01,07,35220
AL,01,07,35219
AL,01,07,35221
AL,01,07,35224
AL,01,07,35228
AL,01,07,35231
AL,01,07,35233
AL,01,07,35234
AL,01,07,35235
AL,01,07,35237
AL,01,07,35232
AL,01,07,35249
AL,01,07,35246
AL,01,07,35254
AL,01,07,35259
AL,01,07,35261
AL,01,07,35263
AL,01,07,35255
AL,01,07,35280
AL,01,07,35281
AL,01,07,35282
AL,01,07,35285
AL,01,07,35283
AL,01,07,35287
AL,01,07,35289
AL,01,07,35291
AL,01,07,35290
AL,01,07,35292
AL,01,07,35294
AL,01,07,35295
AL,01,07,35296
AL,01,07,35297
